anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,dates
0.22110091743119267,0.22110091743119267,0.22110091743119267,0.0,0.0,0.6633027522935779,1.1055045871559632,0.0,0.0,0.22110091743119267,2008-06-01
0.11834862385321102,0.1577981651376147,0.1577981651376147,0.07889908256880734,0.11834862385321102,0.1577981651376147,0.1577981651376147,0.07889908256880734,0.07889908256880734,0.07889908256880734,2009-01-01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-08-01
0.0,0.26605504587155965,0.21284403669724772,0.10642201834862386,0.21284403669724772,0.3724770642201835,0.42568807339449544,0.05321100917431193,0.3724770642201835,0.5321100917431193,2012-12-01
0.2353211009174312,0.2353211009174312,0.2353211009174312,0.2353211009174312,0.0,0.7174311926605504,0.4706422018348624,0.2353211009174312,0.0,0.0,2013-01-01
0.0,0.31055045871559633,0.0,0.26330275229357797,0.35779816513761464,0.0,0.6211009174311927,0.0,0.04724770642201835,0.5738532110091743,2013-03-01
0.0,0.5770642201834862,0.0,0.0,0.5770642201834862,0.5770642201834862,0.5770642201834862,0.0,0.0,0.5770642201834862,2013-07-01
0.0,0.0,0.0,0.0,0.0,0.0,0.14128440366972478,0.0,0.0,0.14128440366972478,2013-08-01
0.0,0.39724770642201834,0.0,0.0,0.39724770642201834,0.22293577981651377,0.6573394495412844,0.07431192660550459,0.1243119266055046,0.3472477064220183,2013-10-01
0.5541284403669725,1.2082568807339449,0.5541284403669725,0.5541284403669725,0.8311926605504587,1.108256880733945,1.158256880733945,0.5541284403669725,0.5541284403669725,0.5541284403669725,2013-11-01
0.0,0.7417431192660551,0.0,0.0,0.43211009174311926,0.0,1.4834862385321101,0.0,0.21605504587155963,0.7417431192660551,2013-12-01
0.05137614678899083,0.15756880733944953,0.05137614678899083,0.15756880733944953,0.23096330275229357,0.3665137614678899,0.6087155963302753,0.0,0.28967889908256883,0.30435779816513764,2014-01-01
0.0710091743119266,0.27889908256880735,0.0846788990825688,0.1846788990825688,0.3436697247706422,0.22963302752293577,0.5469724770642201,0.12541284403669722,0.11871559633027524,0.15174311926605505,2014-02-01
0.4955963302752294,1.1966972477064222,0.6124770642201834,0.0,0.9787155963302752,0.9988990825688073,1.7110091743119267,0.0,0.7091743119266055,0.8891743119266057,2014-03-01
0.021865443425076455,0.23134556574923548,0.04373088685015291,0.027675840978593273,0.31085626911314984,0.12905198776758411,0.4868501529051988,0.04954128440366973,0.13837920489296637,0.10489296636085627,2014-04-01
0.0,0.6954128440366972,0.3477064220183486,0.0,0.0,1.043119266055046,0.0,0.0,0.0,0.0,2014-05-01
